Filesize,Blocksize,Buffersize,No. of Workers, Transfer Time,,
1kb,1024,512,1,0.002,,
10kb,1024,512,1,0.016,,
100kb,1024,512,1,0.06,,
1mb,1024,512,1,0.096,,
10mb,1024,512,1,0.66,,
100mb,1024,512,1,6.988,,
1kb,1024,1024,1,0.002,,
10kb,1024,1024,1,0.002,,
100kb,1024,1024,1,0.008,,
1mb,1024,1024,1,0.065,,
10mb,1024,1024,1,0.654,,
100mb,1024,1024,1,7.072,,
1kb,5120,512,1,0.002,,
10kb,5120,512,1,0.002,,
100kb,5120,512,1,0.004,,
1mb,5120,512,1,0.027,,
10mb,5120,512,1,0.262,,
100mb,5120,512,1,2.782,,
1kb,5120,1024,1,0.002,,
10kb,5120,1024,1,0.002,,
100kb,5120,1024,1,0.004,,
1mb,5120,1024,1,0.027,,
10mb,5120,1024,1,0.262,,
100mb,5120,1024,1,2.81,,
1kb,5120,5120,1,0.002,,
10kb,5120,5120,1,0.002,,
100kb,5120,5120,1,0.004,,
1mb,5120,5120,1,0.027,,
10mb,5120,5120,1,0.261,,
100mb,5120,5120,1,2.69,,
1kb,10240,512,1,0.002,,
10kb,10240,512,1,0.002,,
100kb,10240,512,1,0.003,,
1mb,10240,512,1,0.014,,
10mb,10240,512,1,0.14,,
100mb,10240,512,1,1.319,,
1kb,10240,1024,1,0.002,,
10kb,10240,1024,1,0.002,,
100kb,10240,1024,1,0.003,,
1mb,10240,1024,1,0.014,,
10mb,10240,1024,1,0.139,,
100mb,10240,1024,1,1.383,,
1kb,10240,5120,1,0.002,,
10kb,10240,5120,1,0.002,,
100kb,10240,5120,1,0.003,,
1mb,10240,5120,1,0.014,,
10mb,10240,5120,1,0.138,,
100mb,10240,5120,1,1.348,,
1kb,51200,512,1,0.002,,
10kb,51200,512,1,0.002,,
100kb,51200,512,1,0.002,,
1mb,51200,512,1,0.005,,
10mb,51200,512,1,0.027,,
100mb,51200,512,1,0.267,,
1kb,51200,1024,1,0.002,,
10kb,51200,1024,1,0.002,,
100kb,51200,1024,1,0.002,,
1mb,51200,1024,1,0.004,,
10mb,51200,1024,1,0.027,,
100mb,51200,1024,1,0.265,,
1kb,51200,5120,1,0.002,,
10kb,51200,5120,1,0.002,,
100kb,51200,5120,1,0.002,,
1mb,51200,5120,1,0.004,,
10mb,51200,5120,1,0.028,,
100mb,51200,5120,1,0.262,,
1kb,102400,512,1,0.002,,
10kb,102400,512,1,0.002,,
100kb,102400,512,1,0.002,,
1mb,102400,512,1,0.003,,
10mb,102400,512,1,0.014,,
100mb,102400,512,1,0.141,,
1kb,102400,1024,1,0.002,,
10kb,102400,1024,1,0.002,,
100kb,102400,1024,1,0.002,,
1mb,102400,1024,1,0.003,,
10mb,102400,1024,1,0.014,,
100mb,102400,1024,1,0.139,,
1kb,102400,5120,1,0.002,,
10kb,102400,5120,1,0.002,,
100kb,102400,5120,1,0.002,,
1mb,102400,5120,1,0.003,,
10mb,102400,5120,1,0.014,,
100mb,102400,5120,1,0.139,,
1kb,1024000,512,1,0.004,,
10kb,1024000,512,1,0.004,,
100kb,1024000,512,1,0.005,,
1mb,1024000,512,1,0.005,,
10mb,1024000,512,1,0.006,,
100mb,1024000,512,1,0.017,,
1kb,1024000,1024,1,0.004,,
10kb,1024000,1024,1,0.005,,
100kb,1024000,1024,1,0.004,,
1mb,1024000,1024,1,0.005,,
10mb,1024000,1024,1,0.006,,
100mb,1024000,1024,1,0.019,,
1kb,1024000,5120,1,0.004,,
10kb,1024000,5120,1,0.005,,
100kb,1024000,5120,1,0.005,,
1mb,1024000,5120,1,0.005,,
10mb,1024000,5120,1,0.006,,
100mb,1024000,5120,1,0.017,,
1kb,5120,512,2,0.002,,
10kb,5120,512,2,0.002,,
100kb,5120,512,2,0.007,,
1mb,5120,512,2,0.03,,
10mb,5120,512,2,0.274,,
100mb,5120,512,2,2.703,,
1kb,5120,1024,2,0.004,,
10kb,5120,1024,2,0.002,,
100kb,5120,1024,2,0.006,,
1mb,5120,1024,2,0.038,,
10mb,5120,1024,2,0.268,,
100mb,5120,1024,2,2.716,,
1kb,5120,5120,2,0.002,,
10kb,5120,5120,2,0.003,,
100kb,5120,5120,2,0.007,,
1mb,5120,5120,2,0.042,,
10mb,5120,5120,2,0.275,,
100mb,5120,5120,2,2.662,,
1kb,10240,512,2,0.002,,
10kb,10240,512,2,0.003,,
100kb,10240,512,2,0.004,,
1mb,10240,512,2,0.014,,
10mb,10240,512,2,0.147,,
100mb,10240,512,2,1.35,,
1kb,10240,1024,2,0.002,,
10kb,10240,1024,2,0.002,,
100kb,10240,1024,2,0.004,,
1mb,10240,1024,2,0.014,,
10mb,10240,1024,2,0.145,,
100mb,10240,1024,2,1.354,,
1kb,10240,5120,2,0.002,,
10kb,10240,5120,2,0.003,,
100kb,10240,5120,2,0.004,,
1mb,10240,5120,2,0.028,,
10mb,10240,5120,2,0.139,,
100mb,10240,5120,2,1.34,,
1kb,51200,512,2,0.004,,
10kb,51200,512,2,0.002,,
100kb,51200,512,2,0.004,,
1mb,51200,512,2,0.027,,
10mb,51200,512,2,0.031,,
100mb,51200,512,2,0.272,,
1kb,51200,1024,2,0.004,,
10kb,51200,1024,2,0.003,,
100kb,51200,1024,2,0.004,,
1mb,51200,1024,2,0.007,,
10mb,51200,1024,2,0.031,,
100mb,51200,1024,2,0.286,,
1kb,51200,5120,2,0.003,,
10kb,51200,5120,2,0.002,,
100kb,51200,5120,2,0.004,,
1mb,51200,5120,2,0.007,,
10mb,51200,5120,2,0.038,,
100mb,51200,5120,2,0.275,,
1kb,102400,512,2,0.002,,
10kb,102400,512,2,0.003,,
100kb,102400,512,2,0.004,,
1mb,102400,512,2,0.005,,
10mb,102400,512,2,0.018,,
100mb,102400,512,2,0.141,,
1kb,102400,1024,2,0.002,,
10kb,102400,1024,2,0.003,,
100kb,102400,1024,2,0.004,,
1mb,102400,1024,2,0.004,,
10mb,102400,1024,2,0.015,,
100mb,102400,1024,2,0.148,,
1kb,102400,5120,2,0.002,,
10kb,102400,5120,2,0.003,,
100kb,102400,5120,2,0.004,,
1mb,102400,5120,2,0.005,,
10mb,102400,5120,2,0.015,,
100mb,102400,5120,2,0.146,,
1kb,1024000,512,2,0.004,,
10kb,1024000,512,2,0.005,,
100kb,1024000,512,2,0.006,,
1mb,1024000,512,2,0.006,,
10mb,1024000,512,2,0.026,,
100mb,1024000,512,2,0.035,,
1kb,1024000,1024,2,0.005,,
10kb,1024000,1024,2,0.005,,
100kb,1024000,1024,2,0.006,,
1mb,1024000,1024,2,0.006,,
10mb,1024000,1024,2,0.01,,
100mb,1024000,1024,2,0.019,,
1kb,1024000,5120,2,0.005,,
10kb,1024000,5120,2,0.005,,
100kb,1024000,5120,2,0.005,,
1mb,1024000,5120,2,0.005,,
10mb,1024000,5120,2,0.007,,
100mb,1024000,5120,2,0.019,,
5kb,1024,512,1,0.00842,,
50kb,1024,512,1,0.01388,,
500kb,1024,512,1,0.03962,,
5mb,1024,512,1,0.07506,,
50mb,1024,512,1,0.59356,,
500mb,1024,512,1,5.81948,,
5kb,1024,1024,1,0.00294,,
50kb,1024,1024,1,0.0043,,
500kb,1024,1024,1,0.01625,,
5mb,1024,1024,1,0.06648,,
50mb,1024,1024,1,0.59061,,
500mb,1024,1024,1,5.82363,,
5kb,5120,512,1,0.00202,,
50kb,5120,512,1,0.00202,,
500kb,5120,512,1,0.00525,,
5mb,5120,512,1,0.02721,,
50mb,5120,512,1,0.2621,,
500mb,5120,512,1,2.85588,,
5kb,5120,1024,1,0.00212,,
50kb,5120,1024,1,0.00206,,
500kb,5120,1024,1,0.00414,,
5mb,5120,1024,1,0.02705,,
50mb,5120,1024,1,0.25971,,
500mb,5120,1024,1,2.87113,,
5kb,5120,5120,1,0.00212,,
50kb,5120,5120,1,0.00206,,
500kb,5120,5120,1,0.00417,,
5mb,5120,5120,1,0.03081,,
50mb,5120,5120,1,0.25981,,
500mb,5120,5120,1,2.76391,,
5kb,10240,512,1,0.002,,
50kb,10240,512,1,0.002,,
500kb,10240,512,1,0.00305,,
5mb,10240,512,1,0.01443,,
50mb,10240,512,1,0.1453,,
500mb,10240,512,1,1.3382,,
5kb,10240,1024,1,0.002,,
50kb,10240,1024,1,0.002,,
500kb,10240,1024,1,0.00302,,
5mb,10240,1024,1,0.01467,,
50mb,10240,1024,1,0.14477,,
500mb,10240,1024,1,1.36509,,
5kb,10240,5120,1,0.002,,
50kb,10240,5120,1,0.002,,
500kb,10240,5120,1,0.00303,,
5mb,10240,5120,1,0.0225,,
50mb,10240,5120,1,0.14497,,
500mb,10240,5120,1,1.35267,,
5kb,51200,512,1,0.00202,,
50kb,51200,512,1,0.002,,
500kb,51200,512,1,0.00212,,
5mb,51200,512,1,0.00511,,
50mb,51200,512,1,0.02908,,
500mb,51200,512,1,0.26682,,
5kb,51200,1024,1,0.00202,,
50kb,51200,1024,1,0.002,,
500kb,51200,1024,1,0.00208,,
5mb,51200,1024,1,0.00454,,
50mb,51200,1024,1,0.02914,,
500mb,51200,1024,1,0.26743,,
5kb,51200,5120,1,0.00201,,
50kb,51200,5120,1,0.002,,
500kb,51200,5120,1,0.00209,,
5mb,51200,5120,1,0.00523,,
50mb,51200,5120,1,0.02911,,
500mb,51200,5120,1,0.26744,,
5kb,102400,512,1,0.002,,
50kb,102400,512,1,0.002,,
500kb,102400,512,1,0.00208,,
5mb,102400,512,1,0.00396,,
50mb,102400,512,1,0.01402,,
500mb,102400,512,1,0.14051,,
5kb,102400,1024,1,0.002,,
50kb,102400,1024,1,0.002,,
500kb,102400,1024,1,0.00204,,
5mb,102400,1024,1,0.0034,,
50mb,102400,1024,1,0.01369,,
500mb,102400,1024,1,0.14034,,
5kb,102400,5120,1,0.002,,
50kb,102400,5120,1,0.002,,
500kb,102400,5120,1,0.00204,,
5mb,102400,5120,1,0.00355,,
50mb,102400,5120,1,0.01342,,
500mb,102400,5120,1,0.1413,,
5kb,1024000,512,1,0.00401,,
50kb,1024000,512,1,0.00433,,
500kb,1024000,512,1,0.00475,,
5mb,1024000,512,1,0.00493,,
50mb,1024000,512,1,0.00988,,
500mb,1024000,512,1,0.02204,,
5kb,1024000,1024,1,0.00426,,
50kb,1024000,1024,1,0.00475,,
500kb,1024000,1024,1,0.00434,,
5mb,1024000,1024,1,0.00484,,
50mb,1024000,1024,1,0.00721,,
500mb,1024000,1024,1,0.01998,,
